Year,Country,Brand,Model,Battery_kWh,Range_km,Motor_Power_kW,Weight_kg,Price_USD,Charging_Stations,Sales,Govt_Incentive_USD
2021,UK,Hyundai,Ioniq 5,29.7,222,81,1455,36142,23732,1453,630
2018,China,Hyundai,Kona Electric,45.4,205,113,1723,40106,62049,1534,1000
2018,USA,Hyundai,Kona Electric,45.6,291,113,1547,39372,37141,1352,900
2023,Japan,Chevrolet,Volt,91.6,599,212,1898,52767,40918,3840,450
2021,Norway,Mahindra,XUV EV,47.9,353,88,1265,28137,13120,2109,630
2017,Netherlands,Chevrolet,Volt,66.5,940,98,1666,39284,8442,2563,990
2020,China,BMW,iX,69.3,354,184,1468,68595,74567,506,800
2021,Australia,Mahindra,eVerito,43.5,375,68,1474,27224,6576,1928,630
2023,Netherlands,Nissan,Ariya,23.6,108,55,1138,33439,13335,761,450
2021,China,Tesla,Model S,85.3,521,145,1814,89655,80366,0,700
2024,France,Nissan,Leaf,26.9,131,50,1506,35004,24278,1275,360
2024,India,BMW,iX,61.4,385,116,1443,60559,4087,965,400
2019,Norway,BMW,iX,21.8,117,50,1432,41816,11123,0,810
2024,UK,Mahindra,XUV EV,81.7,370,149,1676,34787,29108,3619,360
2017,Norway,Tesla,Model Y,29.6,203,50,1448,54325,8754,665,990
2024,UK,BYD,e6,22.6,114,50,1555,36133,28155,779,360
2023,Netherlands,Tesla,Model 3,69.1,388,108,1669,77169,12398,95,450
2021,Norway,Audi,e-tron,72.2,454,149,1549,61479,13379,898,630
2022,Norway,Kia,EV6,68.5,485,172,1381,45051,14627,2025,540
2021,USA,Tata,Nexon EV,48.9,339,103,1356,28744,47953,3032,630
2024,France,MG,ZS EV,29.7,191,69,1890,29340,22885,2273,360
2018,Norway,Kia,EV6,64,321,176,1495,46384,10037,735,900
2021,China,Nissan,Leaf,84,658,172,1308,48833,79971,5363,700
2018,Japan,Tata,Tigor EV,21,112,50,1149,23197,26848,994,900
2020,Australia,BYD,e6,80.8,434,179,1666,59984,6744,1142,720
2018,Australia,Renault,Twizy,45.4,269,101,1327,31365,4379,804,900
2024,Norway,Nissan,Ariya,54,316,71,1689,36997,16204,2745,360
2020,UK,Tesla,Model X,50.3,332,82,1699,69134,21245,823,720
2023,Germany,Hyundai,Ioniq 5,61.5,335,110,1616,46207,46020,2623,450
2018,USA,Hyundai,Kona Electric,79,545,127,1781,44636,37150,1918,900
2024,Australia,Kia,Niro EV,68.6,491,151,1514,44466,8260,2430,360
2021,Japan,BYD,e6,15,97,50,1287,33790,35864,815,630
2018,UK,Chevrolet,Volt,47.9,309,109,1501,34241,18405,1256,900
2023,India,Chevrolet,Bolt EV,58.1,286,103,1435,41437,3178,1118,500
2019,Netherlands,Renault,Twizy,30.7,204,50,1737,30816,8968,763,810
2023,Germany,Mahindra,XUV EV,44.4,264,128,1343,31177,45795,3043,450
2020,Netherlands,Audi,e-tron,105.6,1040,192,1459,76617,10173,484,720
2023,Netherlands,Hyundai,Ioniq 5,63.7,292,140,1685,43278,12493,1784,450
2024,Australia,Kia,EV6,78,675,169,1920,52085,8207,3276,360
2019,Japan,Renault,Zoe,26.9,116,50,1383,30247,30605,886,810
2016,Netherlands,Chevrolet,Volt,65.7,356,101,1477,41986,6791,32,1080
2024,USA,MG,ZS EV,38.6,263,134,1309,29400,58892,3904,360
2018,China,Kia,Niro EV,60.2,308,206,1296,46287,62220,1236,1000
2018,France,BMW,iX,64.6,401,73,1764,67138,15063,463,900
2023,Norway,Nissan,Leaf,42.4,201,63,1814,35164,14267,1679,450
2016,France,Tesla,Model Y,73.3,500,204,1494,83780,11892,0,1080
2019,France,Audi,Q4 e-tron,77.6,421,176,1499,70292,16359,561,810
2019,India,Nissan,Ariya,42.8,182,86,1147,38310,2554,518,900
2021,UK,MG,ZS EV,47.4,593,86,1875,33292,23396,3489,630
2020,Netherlands,Chevrolet,Bolt EV,93.5,491,158,1499,48900,10468,1231,720
2023,Netherlands,BYD,e6,82,532,195,1802,58849,12289,1741,450
2017,India,Mahindra,eVerito,101.7,587,172,1682,39889,2800,1990,1100
2018,Australia,Kia,Niro EV,63.9,414,100,1331,44764,4958,825,900
2017,China,BYD,Atto 3,38.2,383,101,1747,43590,56699,1147,1100
2017,India,Hyundai,Ioniq 5,32.7,174,60,1648,33748,1726,802,1100
2023,USA,Hyundai,Ioniq 5,40.7,216,130,1515,37559,54940,2102,450
2024,India,Nissan,Ariya,68.6,444,139,1537,39692,4149,2128,400
2018,China,Tata,Nexon EV,36.9,287,50,1201,28683,61737,2110,1000
2021,Germany,Renault,Zoe,68,591,139,1638,44025,39158,3247,630
2018,USA,Mahindra,XUV EV,54.4,458,79,1714,31696,37306,2722,900
2017,Australia,Audi,Q4 e-tron,82.1,531,147,1533,71344,3691,16,990
2022,Netherlands,Audi,e-tron,58.5,509,114,2020,64541,13175,914,540
2021,China,Tesla,Model Y,69.8,457,156,1698,70392,80341,1110,700
2021,USA,BYD,e6,55.6,435,172,1481,47801,47724,2522,630
2017,Japan,MG,ZS EV,76.8,514,159,1421,40852,24852,1694,990
2018,India,BYD,Atto 3,24.5,134,80,1574,39767,2713,759,1000
2018,Netherlands,MG,MG5,70.4,394,137,2115,37045,8035,1315,900
2018,UK,BYD,Atto 3,62.9,323,107,1666,48100,18544,641,900
2016,China,Nissan,Ariya,52.2,422,91,1511,37222,48535,2098,1200
2019,India,Hyundai,Kona Electric,81.8,706,152,1699,53555,2798,1744,900
2024,France,MG,MG5,63.5,373,86,1558,36266,23474,2972,360
2020,India,Audi,Q4 e-tron,61,531,90,1489,55199,3536,1590,800
2020,Norway,Tata,Nexon EV,54,311,50,1539,28818,12605,1860,720
2020,USA,Tesla,Model X,41.5,285,50,1509,59806,44655,1488,720
2022,Netherlands,MG,MG5,76.3,546,151,1642,39724,12062,2858,540
2018,Netherlands,Renault,Twizy,50,331,58,1664,34078,9290,863,900
2021,Australia,BYD,Atto 3,94.2,516,135,1819,62489,7039,301,630
2022,USA,Kia,Niro EV,70.1,318,65,1467,42733,51501,3126,540
2024,China,Renault,Zoe,23.4,105,50,1819,25960,99047,2592,400
2017,Norway,MG,ZS EV,73.6,484,122,1660,41937,9399,816,990
2020,Netherlands,Tata,Tigor EV,87.5,395,184,1849,38400,10094,1175,720
2018,Netherlands,Mahindra,XUV EV,66.9,439,209,1282,34647,8623,1069,900
2016,Norway,MG,MG5,64.7,359,106,1206,37306,8114,1064,1080
2020,India,Mahindra,XUV EV,64.5,333,156,1584,33500,2324,1436,800
2021,Australia,Nissan,Ariya,43.4,402,67,1417,37820,7360,1456,630
2016,UK,BYD,e6,61.4,500,83,1495,48716,15534,1035,1080
2016,UK,Mahindra,XUV EV,106.1,516,167,2020,43528,15168,953,1080
2021,Norway,Nissan,Leaf,43.5,295,65,1990,33991,12410,1912,630
2018,Netherlands,Renault,Zoe,33,196,53,1555,31238,9026,925,900
2023,USA,MG,MG5,40.3,174,72,1809,31386,54210,2034,450
2024,Norway,Mahindra,eVerito,98,489,167,1577,39532,15978,3073,360
2020,Germany,Renault,Twizy,55.3,318,132,1700,38224,36938,2062,720
2018,Netherlands,Nissan,Leaf,50.1,290,94,1402,35713,8809,1007,900
2024,USA,Audi,Q4 e-tron,75.7,442,138,1758,65905,58874,1804,360
2023,Germany,Kia,EV6,60.1,254,57,1662,40578,46186,2300,450
2023,Germany,Mahindra,XUV EV,83.9,467,130,1847,37413,46514,4660,450
2017,Netherlands,Nissan,Leaf,37.1,230,98,1548,34010,8435,618,990
2017,Norway,Chevrolet,Volt,37.6,209,63,1598,32255,10202,705,990
2017,Australia,Tata,Tigor EV,85.5,498,166,1813,39259,4916,1066,990
2020,UK,Audi,Q4 e-tron,48.6,348,107,1782,60244,21741,570,720
2021,Australia,BYD,e6,57.2,297,123,1516,49168,5682,561,630
2019,UK,Hyundai,Kona Electric,65.6,519,67,1849,48104,20309,1665,810
2016,Norway,Hyundai,Ioniq 5,79.9,732,210,1362,51618,8248,1329,1080
2023,Australia,Audi,Q4 e-tron,36,205,50,1729,50071,7756,775,450
2017,China,Chevrolet,Bolt EV,50.8,403,96,1528,38882,56160,1882,1100
2024,France,Renault,Twizy,40.1,285,74,1134,30227,23227,2695,360
2018,Norway,Renault,Zoe,85.1,846,156,1566,49074,10058,1957,900
2023,Netherlands,Tata,Nexon EV,66.4,366,132,1486,33316,12392,2834,450
2018,Australia,Tata,Tigor EV,73.3,481,130,1870,33649,4074,1648,900
2018,France,Tata,Nexon EV,23.4,144,50,1105,22656,14358,312,900
2017,Australia,Audi,e-tron,69.3,524,122,1721,68629,4773,216,990
2018,UK,Chevrolet,Volt,65.1,428,122,1646,42654,18103,1055,900
2021,Australia,MG,ZS EV,32.2,168,50,1303,29349,6417,309,630
2020,Germany,Kia,Niro EV,73.1,397,170,1470,47999,36367,1290,720
2018,China,Tata,Tigor EV,52.3,408,100,1527,30260,61977,2895,1000
2024,UK,Mahindra,eVerito,46.6,302,128,1354,29751,29298,2849,360
2018,Japan,Mahindra,eVerito,80.7,582,118,1498,36630,26795,2329,900
2016,India,BYD,Atto 3,47.7,449,74,1788,46691,2545,515,1200
2020,Germany,Nissan,Leaf,57,364,71,1516,37175,36817,2210,720
2016,Netherlands,Mahindra,XUV EV,32.1,194,81,1401,24269,6996,448,1080
2020,Netherlands,Tata,Tigor EV,52.6,255,83,1671,31102,9664,1287,720
2022,China,Hyundai,Ioniq 6,38.1,223,50,1416,36020,85233,2704,600
2016,UK,BMW,i3,66,493,137,1279,68057,13901,264,1080
2023,Netherlands,BMW,i4,62.9,330,151,1777,60303,12683,1234,450
2018,Norway,Hyundai,Ioniq 5,87.9,496,197,1799,52297,10754,760,900
2021,France,BYD,Atto 3,92.3,801,174,1991,60166,18492,2105,630
2024,Australia,Chevrolet,Volt,80.2,507,135,1390,47570,8314,2379,360
2019,Netherlands,Nissan,Ariya,97.1,861,200,1672,51711,10000,2269,810
2023,Germany,Nissan,Ariya,36.4,203,77,1693,35083,46030,2123,450
2016,China,Chevrolet,Bolt EV,85,632,130,1635,50004,49701,857,1200
2019,UK,Renault,Twizy,51.8,291,131,1712,34511,20657,1113,810
2019,UK,MG,MG5,103.7,729,224,1644,48088,20958,2463,810
2023,Netherlands,BMW,iX,45.4,229,147,1596,59200,13035,121,450
2016,USA,Kia,EV6,100.3,800,239,1671,57041,30177,1284,1080
2019,Germany,Renault,Twizy,70.1,586,183,1773,45025,35576,2220,810
2016,India,Mahindra,XUV EV,64.9,509,67,1755,30982,1155,922,1200
2023,China,Kia,EV6,20.5,80,63,1098,30180,92821,1412,500
